rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,The Avengers,,"$623,357,910","4,349","$623,357,910",May 4 2012,Walt Disney Studios Motion Pictures
2,The Dark Knight Rises,,"$448,139,099","4,404","$448,139,099",Jul 20 2012,Warner Bros.
3,The Hunger Games,,"$408,010,692","4,137","$408,010,692",Mar 23 2012,Lionsgate Films
4,Skyfall,,"$290,904,271","3,526","$304,360,277",Nov 9 2012,Sony Pictures Releasing
5,The Twilight Saga: Breaking Dawn - Part 2,,"$286,422,893","4,070","$292,324,737",Nov 16 2012,Lionsgate Films
6,The Amazing Spider-Man,,"$262,030,663","4,318","$262,030,663",Jul 3 2012,Sony Pictures Releasing
7,Brave,,"$237,259,676","4,164","$237,283,207",Jun 22 2012,Walt Disney Studios Motion Pictures
8,The Hobbit: An Unexpected Journey,,"$228,546,604","4,100","$303,003,568",Dec 14 2012,Warner Bros.
9,Ted,,"$218,815,487","3,303","$218,815,487",Jun 29 2012,Universal Pictures
10,Madagascar 3: Europe's Most Wanted,,"$216,391,482","4,263","$216,391,482",Jun 8 2012,DreamWorks
11,The Lorax,,"$214,030,500","3,769","$214,151,550",Mar 2 2012,Universal Pictures
12,Men in Black³,,"$179,020,854","4,248","$179,020,854",May 25 2012,Sony Pictures Releasing
13,Wreck-It Ralph,,"$175,990,019","3,752","$189,422,889",Nov 2 2012,Walt Disney Studios Motion Pictures
14,Ice Age: Continental Drift,,"$161,139,599","3,886","$161,321,843",Jul 13 2012,Twentieth Century Fox
15,Snow White and the Huntsman,,"$155,332,381","3,777","$155,332,381",Jun 1 2012,Universal Pictures
16,Hotel Transylvania,,"$145,321,690","3,375","$148,313,048",Sep 28 2012,Sony Pictures Releasing
17,Taken 2,,"$138,936,379","3,706","$139,854,287",Oct 5 2012,Twentieth Century Fox
18,21 Jump Street,,"$138,447,667","3,148","$138,447,667",Mar 16 2012,Sony Pictures Releasing
19,Lincoln,,"$134,189,097","2,293","$182,207,973",Nov 9 2012,Walt Disney Studios Motion Pictures
20,Prometheus,,"$126,477,084","3,442","$126,477,084",Jun 8 2012,Twentieth Century Fox
21,Safe House,,"$126,373,434","3,121","$126,373,434",Feb 10 2012,Universal Pictures
22,The Vow,,"$125,014,030","3,038","$125,014,030",Feb 10 2012,Screen Gems
23,Magic Mike,,"$113,721,571","3,120","$113,721,571",Jun 29 2012,Warner Bros.
24,The Bourne Legacy,,"$113,203,870","3,753","$113,203,870",Aug 10 2012,Universal Pictures
25,Argo,,"$108,720,920","3,247","$136,025,503",Oct 12 2012,Warner Bros.
26,Journey 2: The Mysterious Island,,"$103,860,290","3,500","$103,860,290",Feb 10 2012,Warner Bros.
27,Flight,,"$91,978,551","2,638","$93,772,375",Nov 2 2012,Paramount Pictures
28,Think Like a Man,,"$91,547,205","2,052","$91,547,205",Apr 20 2012,Screen Gems
29,Rise of the Guardians,,"$91,337,659","3,672","$103,412,758",Nov 21 2012,DreamWorks
30,Mission: Impossible - Ghost Protocol,,"$87,050,578","3,555","$209,397,903",Dec 16 2012,Paramount Pictures
31,The Campaign,,"$86,907,746","3,302","$86,907,746",Aug 10 2012,Warner Bros.
32,Life of Pi,,"$85,639,816","2,946","$124,987,023",Nov 21 2012,Twentieth Century Fox
33,The Expendables 2,,"$85,028,192","3,355","$85,028,192",Aug 17 2012,Lionsgate Films
34,Wrath of the Titans,,"$83,670,083","3,545","$83,670,083",Mar 30 2012,Warner Bros.
35,Dark Shadows,,"$79,727,149","3,755","$79,727,149",May 11 2012,Warner Bros.
36,John Carter,,"$73,078,100","3,749","$73,078,100",Mar 9 2012,Walt Disney Studios Motion Pictures
37,Les Misérables,,"$72,967,240","2,927","$148,809,770",Dec 25 2012,Universal Pictures
38,Act of Valor,,"$70,012,847","3,053","$70,012,847",Feb 24 2012,Relativity Media
39,Django Unchained,,"$68,605,611","3,012","$162,805,434",Dec 25 2012,The Weinstein Company
40,Contraband,,"$66,528,000","2,870","$66,528,000",Jan 13 2012,Universal Pictures
41,Looper,,"$66,475,042","2,993","$66,486,205",Sep 28 2012,TriStar Pictures
42,Madea's Witness Protection,,"$65,653,242","2,161","$65,653,242",Jun 29 2012,Lionsgate Films
43,Battleship,,"$65,422,625","3,702","$65,422,625",May 18 2012,Universal Pictures
