title,worldwide_lifetime_gross,domestic_lifetime_gross,foreign_lifetime_gross,year
Avatar,"$2,923,706,026","$785,221,649","$2,138,484,377",2009
Avengers: Endgame,"$2,799,439,100","$858,373,000","$1,941,066,100",2019
Avatar: The Way of Water,"$2,320,250,281","$684,075,767","$1,636,174,514",2022
Titanic,"$2,264,750,694","$674,292,608","$1,590,458,086",1997
Star Wars: Episode VII - The Force Awakens,"$2,071,310,218","$936,662,225","$1,134,647,993",2015
Avengers: Infinity War,"$2,052,415,039","$678,815,482","$1,373,599,557",2018
Spider-Man: No Way Home,"$1,921,847,111","$814,115,070","$1,107,732,041",2021
Jurassic World,"$1,671,537,444","$653,406,625","$1,018,130,819",2015
The Lion King,"$1,663,079,059","$543,638,043","$1,119,441,016",2019
The Avengers,"$1,520,538,536","$623,357,910","$897,180,626",2012
Furious 7,"$1,515,342,457","$353,007,020","$1,162,335,437",2015
Top Gun: Maverick,"$1,495,696,292","$718,732,821","$776,963,471",2022
Frozen II,"$1,453,683,476","$477,373,578","$976,309,898",2019
Barbie,"$1,445,638,421","$636,238,421","$809,400,000",2023
Avengers: Age of Ultron,"$1,405,018,048","$459,005,868","$946,012,180",2015
The Super Mario Bros. Movie,"$1,361,992,475","$574,934,330","$787,058,145",2023
Black Panther,"$1,349,926,083","$700,426,566","$649,499,517",2018
Harry Potter and the Deathly Hallows: Part 2,"$1,342,480,797","$381,447,587","$961,033,210",2011
Star Wars: Episode VIII - The Last Jedi,"$1,334,407,706","$620,181,382","$714,226,324",2017
Jurassic World: Fallen Kingdom,"$1,310,469,037","$417,719,760","$892,749,277",2018
Frozen,"$1,285,048,126","$400,953,009","$884,095,117",2013
Beauty and the Beast,"$1,266,115,964","$504,481,165","$761,634,799",2017
Incredibles 2,"$1,243,225,667","$608,581,744","$634,643,923",2018
The Fate of the Furious,"$1,236,009,236","$226,008,385","$1,010,000,851",2017
Iron Man 3,"$1,215,577,205","$409,013,994","$806,563,211",2013
Minions,"$1,159,457,503","$336,045,770","$823,411,733",2015
Captain America: Civil War,"$1,155,046,416","$408,084,349","$746,962,067",2016
