title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Spider-Man: No Way Home,"$1,912,233,593","$804,793,477",42.1%,"$1,107,440,116",57.9%,Yes
The Battle at Lake Changjin,"$902,548,476","$342,411",<0.1%,"$902,206,065",100%,Yes
"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%,Yes
No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%,Yes
F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%,Yes
Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%,Yes
Venom: Let There Be Carnage,"$506,863,592","$213,550,366",42.1%,"$293,313,226",57.9%,Yes
Godzilla vs. Kong,"$470,116,094","$100,916,094",21.5%,"$369,200,000",78.5%,Yes
Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%,Yes
Sing 2,"$408,402,685","$162,790,990",39.9%,"$245,611,695",60.1%,Yes
Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%,Yes
Dune,"$402,027,830","$108,327,830",26.9%,"$293,700,000",73.1%,Yes
Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%,Yes
Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%,Yes
A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%,Yes
Encanto,"$256,786,742","$96,093,622",37.4%,"$160,693,120",62.6%,Yes
Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%,Yes
"My Country, My Parents","$221,831,086","$177,133",<0.1%,"$221,653,953",99.9%,Yes
Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%,Yes
The Conjuring: The Devil Made Me Do It,"$206,431,050","$65,631,050",31.8%,"$140,800,000",68.2%,Yes
Raging Fire,"$205,842,393","$385,305",0.2%,"$205,457,088",99.8%,Yes
Ghostbusters: Afterlife,"$204,334,455","$129,360,575",63.3%,"$74,973,880",36.7%,Yes
Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%,Yes
Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%,Yes
The Suicide Squad,"$168,717,425","$55,817,425",33.1%,"$112,900,000",66.9%,Yes
Jujutsu Kaisen 0,"$166,760,828","$34,542,754",20.7%,"$132,218,074",79.3%,Yes
Space Jam: A New Legacy,"$163,692,228","$70,592,228",43.1%,"$93,100,000",56.9%,Yes
The Matrix Resurrections,"$157,386,805","$37,686,805",23.9%,"$119,700,000",76.1%,Yes
Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%,Yes
House of Gucci,"$153,269,161","$53,809,574",35.1%,"$99,459,587",64.9%,Yes
A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%,Yes
The Boss Baby 2: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%,Yes
PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%,Yes
Tom & Jerry,"$136,536,687","$46,536,687",34.1%,"$90,000,000",65.9%,Yes
Be Somebody,"$132,326,332",-,-,"$132,326,332",100%,Yes
Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%,Yes
Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%,Yes
Sister,"$128,317,206",-,-,"$128,317,206",100%,Yes
The King's Man,"$125,897,478","$37,176,373",29.5%,"$88,721,105",70.5%,Yes
The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%,Yes
My Love,"$116,720,921","$86,252",<0.1%,"$116,634,669",99.9%,Yes
Clifford the Big Red Dog,"$107,347,356","$48,947,356",45.6%,"$58,400,000",54.4%,Yes
Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%,Yes
Detective Conan: The Scarlet Bullet,"$95,371,578",-,-,"$95,371,578",100%,Yes
Evangelion: 3.0+1.01 Thrice Upon a Time,"$93,882,453","$810,744",0.9%,"$93,071,709",99.1%,Yes
End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%,Yes
