Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,4,"$674,292,608",9,Domestic,tt0120338
Japan,2,"$201,389,568",5,APAC,tt0120338
Australia,4,"$38,891,987",21,APAC,tt0120338
Taiwan,1,"$24,614,481",7,APAC,tt0120338
South Korea,2,"$17,287,679",346,APAC,tt0120338
Hong Kong,3,"$15,162,878",8,APAC,tt0120338
Russia/CIS,1,"$13,361,254",289,APAC,tt0120338
India,2,"$12,749,919",139,APAC,tt0120338
New Zealand,3,"$7,599,048",14,APAC,tt0120338
Philippines,2,"$4,841,409",80,APAC,tt0120338
Thailand,2,"$4,783,417",67,APAC,tt0120338
Singapore,2,"$4,161,529",87,APAC,tt0120338
Indonesia,2,"$2,989,269",160,APAC,tt0120338
Malaysia,2,"$2,764,733",231,APAC,tt0120338
Vietnam,1,"$244,095",541,APAC,tt0120338
China,2,"$153,601,357",93,China,tt0120338
Germany,2,"$129,974,110",3,EMEA,tt0120338
France,2,"$129,127,181",5,EMEA,tt0120338
United Kingdom,2,"$114,063,718",12,EMEA,tt0120338
Italy,2,"$67,953,353",4,EMEA,tt0120338
Spain,2,"$44,103,989",5,EMEA,tt0120338
Netherlands,2,"$27,024,273",4,EMEA,tt0120338
Sweden,2,"$22,088,384",6,EMEA,tt0120338
Belgium,2,"$20,701,637",1,EMEA,tt0120338
Switzerland,1,"$19,449,406",3,EMEA,tt0120338
Poland,2,"$14,078,241",12,EMEA,tt0120338
Denmark,2,"$13,322,975",8,EMEA,tt0120338
Greece and Cyprus,,"$12,939,602",1,EMEA,tt0120338
Austria,2,"$11,666,369",4,EMEA,tt0120338
Norway,2,"$11,067,392",13,EMEA,tt0120338
Türkiye,3,"$10,423,522",42,EMEA,tt0120338
Finland,2,"$8,770,850",4,EMEA,tt0120338
Israel,1,"$8,538,685",3,EMEA,tt0120338
South Africa/Nigeria,,"$8,051,275",1,EMEA,tt0120338
Portugal,3,"$5,814,394",5,EMEA,tt0120338
Egypt,1,"$4,552,211",3,EMEA,tt0120338
Czech Republic,2,"$3,784,818",44,EMEA,tt0120338
Czech Republic/Slovakia,,"$3,152,309",6,EMEA,tt0120338
United Arab Emirates,2,"$2,940,983",185,EMEA,tt0120338
Lebanon,1,"$2,243,454",6,EMEA,tt0120338
Hungary,2,"$2,223,043",52,EMEA,tt0120338
Romania,1,"$1,917,855",40,EMEA,tt0120338
Croatia,2,"$1,658,271",5,EMEA,tt0120338
Slovenia,2,"$1,460,506",3,EMEA,tt0120338
Yugoslavia,,"$1,293,350",1,EMEA,tt0120338
Iceland,3,"$1,082,630",2,EMEA,tt0120338
Ukraine,1,"$1,026,724",380,EMEA,tt0120338
Bulgaria,2,"$1,024,062",35,EMEA,tt0120338
South Africa,2,"$569,257",893,EMEA,tt0120338
Lithuania,1,"$557,107",73,EMEA,tt0120338
Syria,,"$488,827",1,EMEA,tt0120338
Greece,1,"$485,205",953,EMEA,tt0120338
Estonia,,"$472,529",32,EMEA,tt0120338
Jordan,,"$419,652",10,EMEA,tt0120338
Latvia,,"$315,752",67,EMEA,tt0120338
Serbia and Montenegro,2,"$245,612",182,EMEA,tt0120338
East Africa,1,"$226,192",21,EMEA,tt0120338
Slovakia,2,"$188,549",641,EMEA,tt0120338
Bahrain,1,"$24,818",404,EMEA,tt0120338
Brazil,2,"$70,460,123",2,LATAM,tt0120338
Mexico,2,"$27,033,554",74,LATAM,tt0120338
Argentina,2,"$23,269,046",4,LATAM,tt0120338
Chile,2,"$6,179,457",40,LATAM,tt0120338
Puerto Rico,,"$5,933,840",1,LATAM,tt0120338
Colombia,2,"$5,349,365",81,LATAM,tt0120338
Venezuela,1,"$4,651,253",98,LATAM,tt0120338
Central America,,"$4,324,120",13,LATAM,tt0120338
Peru,1,"$2,648,784",115,LATAM,tt0120338
Uruguay,1,"$2,137,938",2,LATAM,tt0120338
Ecuador,1,"$1,201,929",142,LATAM,tt0120338
Bolivia,1,"$1,127,643",48,LATAM,tt0120338
Jamaica,,"$646,208",1,LATAM,tt0120338
Lesser Antilles,,"$640,194",2,LATAM,tt0120338
Dominican Republic,,"$578,917",11,LATAM,tt0120338
Paraguay,,"$406,426",19,LATAM,tt0120338
