Country,Release Date,Opening,Gross,Region,ID
Domestic,"Apr 5, 2023","$146,361,865","$574,934,330",Domestic,tt6718170
United Kingdom,"Apr 7, 2023","$19,485,669","$67,934,434","Europe, Middle East, and Africa",tt6718170
France,"Apr 5, 2023","$9,326,898","$62,851,536","Europe, Middle East, and Africa",tt6718170
Germany,"Apr 5, 2023","$10,619,712","$56,650,382","Europe, Middle East, and Africa",tt6718170
Spain,"Apr 5, 2023","$4,737,893","$29,917,392","Europe, Middle East, and Africa",tt6718170
Italy,"Apr 5, 2023","$6,234,300","$22,040,273","Europe, Middle East, and Africa",tt6718170
Netherlands,"Apr 6, 2023","$3,151,621","$20,020,530","Europe, Middle East, and Africa",tt6718170
Switzerland,"Apr 5, 2023","$2,250,626","$11,147,814","Europe, Middle East, and Africa",tt6718170
Belgium,"Apr 5, 2023","$1,859,114","$9,232,380","Europe, Middle East, and Africa",tt6718170
Austria,"Apr 5, 2023","$1,393,806","$8,209,908","Europe, Middle East, and Africa",tt6718170
Sweden,"Apr 7, 2023","$1,211,850","$7,781,570","Europe, Middle East, and Africa",tt6718170
United Arab Emirates,"Apr 20, 2023","$1,898,132","$6,566,993","Europe, Middle East, and Africa",tt6718170
Poland,"May 26, 2023","$996,731","$6,537,759","Europe, Middle East, and Africa",tt6718170
Saudi Arabia,"Apr 20, 2023","$1,016,593","$6,278,282","Europe, Middle East, and Africa",tt6718170
Middle East Other,"Apr 20, 2023","$1,269,843","$6,064,003","Europe, Middle East, and Africa",tt6718170
Norway,"Apr 7, 2023","$626,212","$5,027,070","Europe, Middle East, and Africa",tt6718170
Israel,"Apr 6, 2023","$1,349,548","$4,614,881","Europe, Middle East, and Africa",tt6718170
Denmark,"Apr 6, 2023","$1,041,562","$4,307,275","Europe, Middle East, and Africa",tt6718170
Finland,"Apr 6, 2023","$695,718","$3,814,831","Europe, Middle East, and Africa",tt6718170
Czech Republic,"Apr 6, 2023","$762,185","$2,806,860","Europe, Middle East, and Africa",tt6718170
Portugal,"Apr 6, 2023","$464,654","$2,789,546","Europe, Middle East, and Africa",tt6718170
Türkiye,"Apr 14, 2023","$331,909","$2,226,328","Europe, Middle East, and Africa",tt6718170
Greece,"Apr 6, 2023","$339,144","$1,541,010","Europe, Middle East, and Africa",tt6718170
Switzerland (German),"Apr 5, 2023","$1,500,000","$1,500,000","Europe, Middle East, and Africa",tt6718170
Hungary,"Apr 6, 2023","$439,802","$1,425,476","Europe, Middle East, and Africa",tt6718170
South Africa,"Apr 5, 2023","$227,224","$1,355,069","Europe, Middle East, and Africa",tt6718170
Romania,"Apr 7, 2023","$264,764","$1,294,595","Europe, Middle East, and Africa",tt6718170
Slovakia,"Apr 6, 2023","$299,030","$1,069,814","Europe, Middle East, and Africa",tt6718170
Lebanon,"Apr 20, 2023","$163,582","$896,874","Europe, Middle East, and Africa",tt6718170
Bulgaria,"Apr 7, 2023","$200,127","$842,023","Europe, Middle East, and Africa",tt6718170
Ukraine,"Apr 5, 2023","$285,983","$821,280","Europe, Middle East, and Africa",tt6718170
Switzerland (French),"Apr 5, 2023","$668,000","$668,000","Europe, Middle East, and Africa",tt6718170
Lithuania,"Apr 7, 2023","$60,924","$650,242","Europe, Middle East, and Africa",tt6718170
Croatia,"Apr 6, 2023","$116,054","$649,382","Europe, Middle East, and Africa",tt6718170
Serbia and Montenegro,"Apr 6, 2023","$148,174","$625,377","Europe, Middle East, and Africa",tt6718170
Estonia,"Apr 7, 2023","$115,669","$590,215","Europe, Middle East, and Africa",tt6718170
Iceland,"Apr 7, 2023","$107,598","$529,742","Europe, Middle East, and Africa",tt6718170
Slovenia,"Apr 6, 2023","$92,903","$486,299","Europe, Middle East, and Africa",tt6718170
Latvia,"Apr 7, 2023","$68,909","$434,170","Europe, Middle East, and Africa",tt6718170
Egypt,"Apr 19, 2023","$37,741","$252,189","Europe, Middle East, and Africa",tt6718170
Cyprus,"Apr 6, 2023","$53,513","$246,997","Europe, Middle East, and Africa",tt6718170
Nigeria,"Apr 7, 2023","$24,824","$138,042","Europe, Middle East, and Africa",tt6718170
Bosnia and Herzegovina,"Apr 6, 2023","$33,963","$125,910","Europe, Middle East, and Africa",tt6718170
Albania,"Apr 6, 2023","$18,684","$81,535","Europe, Middle East, and Africa",tt6718170
Kenya,"Apr 7, 2023","$10,203","$65,261","Europe, Middle East, and Africa",tt6718170
North Macedonia,"Apr 6, 2023","$11,015","$52,168","Europe, Middle East, and Africa",tt6718170
Mexico,"Apr 6, 2023","$21,797,271","$85,378,425",Latin America,tt6718170
Brazil,"Apr 6, 2023","$6,152,113","$26,798,740",Latin America,tt6718170
Central America,"Apr 6, 2023","$5,265,791","$19,994,314",Latin America,tt6718170
Colombia,"Apr 6, 2023","$3,193,141","$14,578,123",Latin America,tt6718170
Argentina,"Apr 6, 2023","$3,323,320","$14,204,293",Latin America,tt6718170
Chile,"Apr 6, 2023","$3,016,916","$13,846,317",Latin America,tt6718170
Peru,"Apr 6, 2023","$2,563,738","$11,270,294",Latin America,tt6718170
Ecuador,"Apr 6, 2023","$1,871,890","$8,197,461",Latin America,tt6718170
Venezuela,"Apr 6, 2023","$787,022","$3,335,125",Latin America,tt6718170
Bolivia,"Apr 6, 2023","$726,841","$3,307,438",Latin America,tt6718170
Uruguay,"Apr 6, 2023","$307,672","$1,194,613",Latin America,tt6718170
Trinidad & Tobago,"Apr 6, 2023","$153,067","$641,883",Latin America,tt6718170
Paraguay,"Apr 6, 2023","$112,999","$524,615",Latin America,tt6718170
Japan,"Apr 28, 2023","$13,520,052","$101,918,067",Asia Pacific,tt6718170
Australia,"Apr 5, 2023","$7,018,316","$34,598,606",Asia Pacific,tt6718170
South Korea,"Apr 26, 2023","$4,695,030","$18,126,152",Asia Pacific,tt6718170
Taiwan,"Apr 7, 2023","$1,828,779","$9,653,599",Asia Pacific,tt6718170
Hong Kong,"Apr 5, 2023","$2,493,511","$7,187,400",Asia Pacific,tt6718170
Indonesia,"Apr 5, 2023","$1,296,250","$5,055,016",Asia Pacific,tt6718170
New Zealand,"Apr 5, 2023","$677,383","$4,204,907",Asia Pacific,tt6718170
Malaysia,"Apr 20, 2023","$1,208,418","$4,084,817",Asia Pacific,tt6718170
Singapore,"Apr 6, 2023","$1,297,096","$3,770,854",Asia Pacific,tt6718170
Philippines,"Apr 19, 2023","$1,078,506","$2,191,720",Asia Pacific,tt6718170
India,"Apr 7, 2023","$538,345","$1,967,127",Asia Pacific,tt6718170
Vietnam,"Apr 7, 2023","$425,826","$1,304,718",Asia Pacific,tt6718170
Thailand,"Apr 5, 2023","$400,237","$1,217,637",Asia Pacific,tt6718170
Russia/CIS,"Apr 6, 2023","$369,564","$221,014",Asia Pacific,tt6718170
Mongolia,"Apr 7, 2023","$27,878","$111,573",Asia Pacific,tt6718170
Sri Lanka,"Apr 7, 2023","$9,221","$55,103",Asia Pacific,tt6718170
Bangladesh,"Apr 7, 2023",$657,"$8,631",Asia Pacific,tt6718170
China,"Apr 5, 2023","$6,314,695","$24,947,846",China,tt6718170
