movie_ids,movie_titles
tt0499549 ,Avatar
tt1630029 ,Avatar: The Way of Water
tt1517268 ,Barbie
tt4154796 ,Avengers: Endgame
tt0120338 ,Titanic
tt2488496 ,Star Wars: Episode VII - The Force Awakens
tt4154756 ,Avengers: Infinity War
tt10872600 ,Spider-Man: No Way Home
tt0369610 ,Jurassic World
tt6105098 ,The Lion King
tt0848228,Avengers Assemble
tt2820852 ,Fast & Furious 7
tt1745960 ,Top Gun: Maverick
tt4520988 ,Frozen 2
tt2395427 ,Avengers: Age of Ultron
tt6718170 ,The Super Mario Bros. Movie
tt1825683 ,Black Panther
tt1201607 ,Harry Potter and the Deathly Hallows: Part 2
tt2527336 ,Star Wars: Episode VIII - The Last Jedi
tt4881806 ,Jurassic World: Fallen Kingdom
