date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31 1982,New Year's Eve 1982,Friday,365,"$1,108,722",+0.6%,+212.5%,1,E.T. the Extra-Terrestrial,"$1,108,722"
Dec 30 1982,,Thursday,364,"$1,102,351",+0.6%,+103.5%,1,E.T. the Extra-Terrestrial,"$1,102,351"
Dec 29 1982,,Wednesday,363,"$1,096,003",-2.5%,+152%,1,E.T. the Extra-Terrestrial,"$1,096,003"
Dec 28 1982,,Tuesday,362,"$1,124,567",+1.9%,+130.1%,1,E.T. the Extra-Terrestrial,"$1,124,567"
Dec 27 1982,,Monday,361,"$1,103,978",-23%,+158.2%,1,E.T. the Extra-Terrestrial,"$1,103,978"
Dec 26 1982,,Sunday,360,"$1,434,623",+91%,+45.7%,1,E.T. the Extra-Terrestrial,"$1,434,623"
Dec 25 1982,Christmas Day 1982,Saturday,359,"$751,174",+111.7%,-28.8%,1,E.T. the Extra-Terrestrial,"$751,174"
Dec 24 1982,,Friday,358,"$354,758",-34.5%,-35.8%,1,E.T. the Extra-Terrestrial,"$354,758"
Dec 23 1982,,Thursday,357,"$541,720",+24.6%,+113.8%,1,E.T. the Extra-Terrestrial,"$541,720"
Dec 22 1982,,Wednesday,356,"$434,850",-11%,+59.5%,1,E.T. the Extra-Terrestrial,"$434,850"
Dec 21 1982,,Tuesday,355,"$488,660",+14.3%,+129.8%,1,E.T. the Extra-Terrestrial,"$488,660"
Dec 20 1982,,Monday,354,"$427,510",-56.6%,+173.9%,1,E.T. the Extra-Terrestrial,"$427,510"
Dec 19 1982,,Sunday,353,"$984,578",-6.7%,+50%,1,E.T. the Extra-Terrestrial,"$984,578"
Dec 18 1982,,Saturday,352,"$1,054,836",+90.9%,+27%,1,E.T. the Extra-Terrestrial,"$1,054,836"
Dec 17 1982,,Friday,351,"$552,703",+118.1%,+40.7%,1,E.T. the Extra-Terrestrial,"$552,703"
Dec 16 1982,,Thursday,350,"$253,362",-7%,+74.1%,1,E.T. the Extra-Terrestrial,"$253,362"
Dec 15 1982,,Wednesday,349,"$272,548",+28.2%,+79.8%,1,E.T. the Extra-Terrestrial,"$272,548"
Dec 14 1982,,Tuesday,348,"$212,670",+36.3%,+8.8%,1,E.T. the Extra-Terrestrial,"$212,670"
Dec 13 1982,,Monday,347,"$156,081",-76.2%,-1.5%,1,E.T. the Extra-Terrestrial,"$156,081"
Dec 12 1982,,Sunday,346,"$656,426",-21%,-16.1%,1,E.T. the Extra-Terrestrial,"$656,426"
Dec 11 1982,,Saturday,345,"$830,476",+111.5%,-21.9%,1,E.T. the Extra-Terrestrial,"$830,476"
Dec 10 1982,,Friday,344,"$392,716",+169.8%,-23%,1,E.T. the Extra-Terrestrial,"$392,716"
Dec 9 1982,,Thursday,343,"$145,567",-4%,-,1,E.T. the Extra-Terrestrial,"$145,567"
Dec 8 1982,,Wednesday,342,"$151,601",-22.4%,-3.7%,1,E.T. the Extra-Terrestrial,"$151,601"
Dec 7 1982,,Tuesday,341,"$195,394",+23.3%,-15.3%,1,E.T. the Extra-Terrestrial,"$195,394"
Dec 6 1982,,Monday,340,"$158,431",-79.7%,-17.1%,1,E.T. the Extra-Terrestrial,"$158,431"
Dec 5 1982,,Sunday,339,"$782,252",-26.5%,-16.7%,1,E.T. the Extra-Terrestrial,"$782,252"
Dec 4 1982,,Saturday,338,"$1,063,793",+108.7%,-34.6%,1,E.T. the Extra-Terrestrial,"$1,063,793"
Dec 3 1982,,Friday,337,"$509,774",-,-63.8%,1,E.T. the Extra-Terrestrial,"$509,774"
Dec 1 1982,,Wednesday,335,"$157,398",-31.8%,-60.2%,1,E.T. the Extra-Terrestrial,"$157,398"
Nov 30 1982,,Tuesday,334,"$230,807",+20.8%,-11.3%,1,E.T. the Extra-Terrestrial,"$230,807"
Nov 29 1982,,Monday,333,"$191,027",-79.7%,-9.6%,1,E.T. the Extra-Terrestrial,"$191,027"
Nov 28 1982,,Sunday,332,"$939,606",-42.3%,-1.2%,1,E.T. the Extra-Terrestrial,"$939,606"
Nov 27 1982,,Saturday,331,"$1,627,450",+15.4%,+25.5%,1,E.T. the Extra-Terrestrial,"$1,627,450"
Nov 26 1982,,Friday,330,"$1,409,722",+78.5%,+122.8%,1,E.T. the Extra-Terrestrial,"$1,409,722"
Nov 25 1982,Thanksgiving 1982,Thursday,329,"$789,643",+99.9%,+331.1%,1,E.T. the Extra-Terrestrial,"$789,643"
Nov 24 1982,,Wednesday,328,"$394,987",+51.8%,+119.9%,1,E.T. the Extra-Terrestrial,"$394,987"
Nov 23 1982,,Tuesday,327,"$260,170",+23.1%,+21.5%,1,E.T. the Extra-Terrestrial,"$260,170"
Nov 22 1982,,Monday,326,"$211,265",-77.8%,+11.1%,1,E.T. the Extra-Terrestrial,"$211,265"
Nov 21 1982,,Sunday,325,"$950,907",-26.7%,+0.5%,1,E.T. the Extra-Terrestrial,"$950,907"
Nov 20 1982,,Saturday,324,"$1,297,138",+105%,-3.1%,1,E.T. the Extra-Terrestrial,"$1,297,138"
Nov 19 1982,,Friday,323,"$632,659",+245.4%,-4.3%,1,E.T. the Extra-Terrestrial,"$632,659"
Nov 18 1982,,Thursday,322,"$183,183",+2%,-58.3%,1,E.T. the Extra-Terrestrial,"$183,183"
Nov 17 1982,,Wednesday,321,"$179,603",-16.1%,-34.9%,1,E.T. the Extra-Terrestrial,"$179,603"
Nov 16 1982,,Tuesday,320,"$214,153",+12.6%,-10.4%,1,E.T. the Extra-Terrestrial,"$214,153"
Nov 15 1982,,Monday,319,"$190,157",-79.9%,-9.8%,1,E.T. the Extra-Terrestrial,"$190,157"
Nov 14 1982,,Sunday,318,"$945,804",-29.3%,-6.6%,1,E.T. the Extra-Terrestrial,"$945,804"
Nov 13 1982,,Saturday,317,"$1,338,513",+102.5%,-3.2%,1,E.T. the Extra-Terrestrial,"$1,338,513"
Nov 12 1982,,Friday,316,"$661,155",+50.5%,+1.5%,1,E.T. the Extra-Terrestrial,"$661,155"
Nov 11 1982,,Thursday,315,"$439,255",+59.2%,+110.4%,1,E.T. the Extra-Terrestrial,"$439,255"
Nov 10 1982,,Wednesday,314,"$275,862",+15.4%,+28.3%,1,E.T. the Extra-Terrestrial,"$275,862"
Nov 9 1982,,Tuesday,313,"$239,011",+13.4%,-23.1%,1,E.T. the Extra-Terrestrial,"$239,011"
Nov 8 1982,,Monday,312,"$210,845",-79.2%,-16.2%,1,E.T. the Extra-Terrestrial,"$210,845"
Nov 7 1982,,Sunday,311,"$1,012,566",-26.8%,-2%,1,E.T. the Extra-Terrestrial,"$1,012,566"
Nov 6 1982,,Saturday,310,"$1,382,502",+112.2%,+22%,1,E.T. the Extra-Terrestrial,"$1,382,502"
Nov 5 1982,,Friday,309,"$651,624",+212.1%,+8%,1,E.T. the Extra-Terrestrial,"$651,624"
Nov 4 1982,,Thursday,308,"$208,784",-2.9%,-5.4%,1,E.T. the Extra-Terrestrial,"$208,784"
Nov 3 1982,,Wednesday,307,"$215,060",-30.8%,-3.7%,1,E.T. the Extra-Terrestrial,"$215,060"
Nov 2 1982,,Tuesday,306,"$310,719",+23.5%,+14.6%,1,E.T. the Extra-Terrestrial,"$310,719"
Nov 1 1982,,Monday,305,"$251,521",-75.7%,+3.2%,1,E.T. the Extra-Terrestrial,"$251,521"
Oct 31 1982,Halloween 1982,Sunday,304,"$1,033,216",-8.8%,-3.9%,1,E.T. the Extra-Terrestrial,"$1,033,216"
Oct 30 1982,,Saturday,303,"$1,132,898",+87.8%,-21%,1,E.T. the Extra-Terrestrial,"$1,132,898"
Oct 29 1982,,Friday,302,"$603,138",+173.4%,-17.7%,1,E.T. the Extra-Terrestrial,"$603,138"
Oct 28 1982,,Thursday,301,"$220,591",-1.2%,-19.7%,1,E.T. the Extra-Terrestrial,"$220,591"
Oct 27 1982,,Wednesday,300,"$223,307",-17.6%,-5.7%,1,E.T. the Extra-Terrestrial,"$223,307"
Oct 26 1982,,Tuesday,299,"$271,019",+11.2%,+4.5%,1,E.T. the Extra-Terrestrial,"$271,019"
Oct 25 1982,,Monday,298,"$243,623",-77.3%,-8.7%,1,E.T. the Extra-Terrestrial,"$243,623"
Oct 24 1982,,Sunday,297,"$1,075,039",-25.1%,+3.8%,1,E.T. the Extra-Terrestrial,"$1,075,039"
Oct 23 1982,,Saturday,296,"$1,434,955",+95.7%,-7.2%,1,E.T. the Extra-Terrestrial,"$1,434,955"
Oct 22 1982,,Friday,295,"$733,216",+167.1%,<0.1%,1,E.T. the Extra-Terrestrial,"$733,216"
Oct 21 1982,,Thursday,294,"$274,549",+15.9%,+5.1%,1,E.T. the Extra-Terrestrial,"$274,549"
Oct 20 1982,,Wednesday,293,"$236,891",-8.7%,-0.7%,1,E.T. the Extra-Terrestrial,"$236,891"
Oct 19 1982,,Tuesday,292,"$259,436",-2.8%,-1.3%,1,E.T. the Extra-Terrestrial,"$259,436"
Oct 18 1982,,Monday,291,"$266,880",-74.2%,-47.2%,1,E.T. the Extra-Terrestrial,"$266,880"
Oct 17 1982,,Sunday,290,"$1,036,122",-33%,-18.1%,1,E.T. the Extra-Terrestrial,"$1,036,122"
Oct 16 1982,,Saturday,289,"$1,546,339",+110.9%,-7.8%,1,E.T. the Extra-Terrestrial,"$1,546,339"
Oct 15 1982,,Friday,288,"$733,231",+180.8%,-10.4%,1,E.T. the Extra-Terrestrial,"$733,231"
Oct 14 1982,,Thursday,287,"$261,144",+9.4%,+2.2%,1,E.T. the Extra-Terrestrial,"$261,144"
Oct 13 1982,,Wednesday,286,"$238,627",-9.2%,-14.4%,1,E.T. the Extra-Terrestrial,"$238,627"
Oct 12 1982,,Tuesday,285,"$262,747",-48.1%,-11.2%,1,E.T. the Extra-Terrestrial,"$262,747"
Oct 11 1982,Indig. Peoples' Day 1982,Monday,284,"$505,831",-60%,+72%,1,E.T. the Extra-Terrestrial,"$505,831"
Oct 10 1982,,Sunday,283,"$1,265,252",-24.6%,+9.4%,1,E.T. the Extra-Terrestrial,"$1,265,252"
Oct 9 1982,,Saturday,282,"$1,677,975",+105%,-3.1%,1,E.T. the Extra-Terrestrial,"$1,677,975"
Oct 8 1982,,Friday,281,"$818,541",+220.3%,-4.1%,1,E.T. the Extra-Terrestrial,"$818,541"
Oct 7 1982,,Thursday,280,"$255,560",-8.4%,-13.7%,1,E.T. the Extra-Terrestrial,"$255,560"
Oct 6 1982,,Wednesday,279,"$278,861",-5.7%,-9.6%,1,E.T. the Extra-Terrestrial,"$278,861"
Oct 5 1982,,Tuesday,278,"$295,829",+0.6%,-11.4%,1,E.T. the Extra-Terrestrial,"$295,829"
Oct 4 1982,,Monday,277,"$294,171",-74.6%,-21.4%,1,E.T. the Extra-Terrestrial,"$294,171"
Oct 3 1982,,Sunday,276,"$1,156,556",-33.2%,-14.3%,1,E.T. the Extra-Terrestrial,"$1,156,556"
Oct 2 1982,,Saturday,275,"$1,731,831",+102.8%,-4.3%,1,E.T. the Extra-Terrestrial,"$1,731,831"
Oct 1 1982,,Friday,274,"$853,753",+188.1%,-8.6%,1,E.T. the Extra-Terrestrial,"$853,753"
Sep 30 1982,,Thursday,273,"$296,290",-4%,-0.5%,1,E.T. the Extra-Terrestrial,"$296,290"
Sep 29 1982,,Wednesday,272,"$308,622",-7.6%,-9.5%,1,E.T. the Extra-Terrestrial,"$308,622"
Sep 28 1982,,Tuesday,271,"$333,922",-10.8%,-10.7%,1,E.T. the Extra-Terrestrial,"$333,922"
Sep 27 1982,,Monday,270,"$374,318",-72.3%,+14.9%,1,E.T. the Extra-Terrestrial,"$374,318"
Sep 26 1982,,Sunday,269,"$1,349,285",-25.4%,+5.4%,1,E.T. the Extra-Terrestrial,"$1,349,285"
Sep 25 1982,,Saturday,268,"$1,808,736",+93.7%,-7.7%,1,E.T. the Extra-Terrestrial,"$1,808,736"
