date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
May 19 2024,,Sunday,140,"$25,337,213",-32.1%,-7.1%,29,IF,"$9,285,735"
May 18 2024,,Saturday,139,"$37,318,916",+30.1%,+13%,30,IF,"$14,006,940"
May 17 2024,,Friday,138,"$28,690,575",+411.7%,-7.8%,30,IF,"$10,423,126"
May 16 2024,,Thursday,137,"$5,606,802",-17.2%,+24%,37,Kingdom of the Planet of the Apes,"$2,923,681"
May 15 2024,,Wednesday,136,"$6,769,117",-35.3%,+39.5%,36,Kingdom of the Planet of the Apes,"$3,467,083"
May 14 2024,,Tuesday,135,"$10,466,918",+31.2%,+36.5%,36,Kingdom of the Planet of the Apes,"$5,992,353"
May 13 2024,,Monday,134,"$7,980,758",-70.7%,+40.9%,36,Kingdom of the Planet of the Apes,"$4,455,596"
May 12 2024,,Sunday,133,"$27,275,075",-17.4%,+53.6%,40,Kingdom of the Planet of the Apes,"$16,264,500"
May 11 2024,,Saturday,132,"$33,025,516",+6.1%,+17.5%,40,Kingdom of the Planet of the Apes,"$19,969,677"
May 10 2024,,Friday,131,"$31,130,024",+588.5%,+38.3%,41,Kingdom of the Planet of the Apes,"$22,166,611"
May 9 2024,,Thursday,130,"$4,521,127",-6.9%,+15.9%,37,The Fall Guy,"$1,519,140"
May 8 2024,,Wednesday,129,"$4,853,787",-36.7%,+12.7%,38,The Fall Guy,"$1,633,775"
May 7 2024,,Tuesday,128,"$7,670,055",+35.4%,+12.9%,37,The Fall Guy,"$3,161,540"
May 6 2024,,Monday,127,"$5,663,354",-68.1%,+6.1%,39,The Fall Guy,"$1,935,430"
May 5 2024,,Sunday,126,"$17,755,068",-36.8%,+17%,37,The Fall Guy,"$6,938,380"
May 4 2024,,Saturday,125,"$28,105,238",+24.8%,+26.5%,37,The Fall Guy,"$10,329,530"
May 3 2024,,Friday,124,"$22,511,546",+476.9%,+17.2%,38,The Fall Guy,"$10,479,125"
May 2 2024,,Thursday,123,"$3,902,148",-9.4%,-3.8%,35,Challengers,"$1,371,619"
May 1 2024,,Wednesday,122,"$4,308,477",-36.6%,-4.6%,35,Challengers,"$1,467,696"
Apr 30 2024,,Tuesday,121,"$6,795,240",+27.3%,+4.7%,36,Challengers,"$2,343,480"
Apr 29 2024,,Monday,120,"$5,338,229",-64.8%,+7.4%,35,Challengers,"$1,625,573"
Apr 28 2024,,Sunday,119,"$15,169,775",-31.7%,-8.7%,39,Challengers,"$3,798,260"
Apr 27 2024,,Saturday,118,"$22,217,775",+15.6%,-9.7%,39,Challengers,"$4,956,880"
Apr 26 2024,,Friday,117,"$19,212,428",+373.6%,-2.8%,39,Challengers,"$6,255,921"
Apr 25 2024,,Thursday,116,"$4,057,011",-10.1%,-11.8%,37,Civil War,"$905,063"
Apr 24 2024,,Wednesday,115,"$4,514,355",-30.4%,-11.1%,35,Civil War,"$983,764"
Apr 23 2024,,Tuesday,114,"$6,487,752",+30.5%,-8.2%,37,Civil War,"$1,405,377"
Apr 22 2024,,Monday,113,"$4,971,359",-70.1%,-11.5%,37,Civil War,"$918,547"
