date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31 1995,New Year's Eve 1995,Sunday,365,"$4,089,216",-28.2%,+97.5%,1,Toy Story,"$4,089,216"
Dec 30 1995,,Saturday,364,"$5,698,324",-1.8%,+28%,1,Toy Story,"$5,698,324"
Dec 29 1995,,Friday,363,"$5,801,236",+13.1%,+74%,1,Toy Story,"$5,801,236"
Dec 28 1995,,Thursday,362,"$5,130,016",+3.6%,+168.5%,1,Toy Story,"$5,130,016"
Dec 27 1995,,Wednesday,361,"$4,952,708",+2.8%,+212.2%,1,Toy Story,"$4,952,708"
Dec 26 1995,,Tuesday,360,"$4,818,286",+113.6%,+231.1%,1,Toy Story,"$4,818,286"
Dec 25 1995,Christmas Day 1995,Monday,359,"$2,255,251",-50.7%,+10.1%,1,Toy Story,"$2,255,251"
Dec 24 1995,,Sunday,358,"$2,070,540",-53.5%,-42.8%,1,Toy Story,"$2,070,540"
Dec 23 1995,,Saturday,357,"$4,453,424",+33.5%,-9.2%,1,Toy Story,"$4,453,424"
Dec 22 1995,,Friday,356,"$3,334,734",+74.5%,+36.3%,1,Toy Story,"$3,334,734"
Dec 21 1995,,Thursday,355,"$1,910,933",+20.5%,+113.5%,1,Toy Story,"$1,910,933"
Dec 20 1995,,Wednesday,354,"$1,586,260",+9%,+88.7%,1,Toy Story,"$1,586,260"
Dec 19 1995,,Tuesday,353,"$1,455,339",+23%,+56.8%,1,Toy Story,"$1,455,339"
Dec 18 1995,,Monday,352,"$1,183,681",-67.3%,+53.8%,1,Toy Story,"$1,183,681"
Dec 17 1995,,Sunday,351,"$3,621,856",-26.2%,-20.4%,1,Toy Story,"$3,621,856"
Dec 16 1995,,Saturday,350,"$4,905,825",+100.4%,-20.8%,1,Toy Story,"$4,905,825"
Dec 15 1995,,Friday,349,"$2,447,421",+173.5%,-21.9%,1,Toy Story,"$2,447,421"
Dec 14 1995,,Thursday,348,"$894,952",+6.5%,-17.8%,1,Toy Story,"$894,952"
Dec 13 1995,,Wednesday,347,"$840,595",-9.4%,-21.9%,1,Toy Story,"$840,595"
Dec 12 1995,,Tuesday,346,"$928,223",+20.6%,-24%,1,Toy Story,"$928,223"
Dec 11 1995,,Monday,345,"$769,779",-83.1%,-30.6%,1,Toy Story,"$769,779"
Dec 10 1995,,Sunday,344,"$4,549,472",-26.6%,-28%,1,Toy Story,"$4,549,472"
Dec 9 1995,,Saturday,343,"$6,195,013",+97.6%,-33.1%,1,Toy Story,"$6,195,013"
