date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31 2022,New Year's Eve 2022,Saturday,365,"$27,962,493",-26.2%,+31.6%,31,Avatar: The Way of Water,"$18,053,159"
Dec 30 2022,,Friday,364,"$37,900,613",+21.5%,+29.7%,32,Avatar: The Way of Water,"$24,836,835"
Dec 29 2022,,Thursday,363,"$31,204,428",-2.1%,+55.2%,28,Avatar: The Way of Water,"$20,117,061"
Dec 28 2022,,Wednesday,362,"$31,866,473",-14.7%,+49.5%,28,Avatar: The Way of Water,"$20,582,014"
Dec 27 2022,,Tuesday,361,"$37,343,124",-20.5%,+70.3%,28,Avatar: The Way of Water,"$24,128,503"
Dec 26 2022,,Monday,360,"$46,963,277",+8%,+146.5%,29,Avatar: The Way of Water,"$32,270,430"
Dec 25 2022,Christmas Day 2022,Sunday,359,"$43,485,546",-23%,-54.6%,28,Avatar: The Way of Water,"$29,179,791"
Dec 24 2022,,Saturday,358,"$21,255,461",-27.2%,-58.7%,28,Avatar: The Way of Water,"$14,869,288"
Dec 23 2022,,Friday,357,"$29,211,733",+45.3%,-49.5%,29,Avatar: The Way of Water,"$19,289,141"
Dec 22 2022,,Thursday,356,"$20,101,091",-5.7%,+780.5%,30,Avatar: The Way of Water,"$14,632,040"
Dec 21 2022,,Wednesday,355,"$21,315,270",-2.8%,+606.1%,31,Avatar: The Way of Water,"$14,403,438"
Dec 20 2022,,Tuesday,354,"$21,925,733",+15.1%,+457.5%,31,Avatar: The Way of Water,"$18,288,904"
Dec 19 2022,,Monday,353,"$19,052,001",-54.9%,+548.3%,30,Avatar: The Way of Water,"$16,257,078"
Dec 18 2022,World Cup (Qatar) 2022,Sunday,352,"$42,230,148",-17.9%,+344%,31,Avatar: The Way of Water,"$36,572,069"
Dec 17 2022,World Cup (Qatar) 2022,Saturday,351,"$51,418,191",-11.1%,+232.5%,30,Avatar: The Way of Water,"$44,327,887"
Dec 16 2022,World Cup (Qatar) 2022,Friday,350,"$57,866,360","+2,434.7%",+554.1%,31,Avatar: The Way of Water,"$53,200,270"
Dec 15 2022,World Cup (Qatar) 2022,Thursday,349,"$2,282,964",-24.4%,-39.8%,33,Black Panther: Wakanda Forever,"$688,851"
Dec 14 2022,World Cup (Qatar) 2022,Wednesday,348,"$3,018,611",-23.2%,-23.5%,34,Black Panther: Wakanda Forever,"$909,059"
Dec 13 2022,World Cup (Qatar) 2022,Tuesday,347,"$3,932,901",+33.8%,-28.8%,36,Black Panther: Wakanda Forever,"$1,144,342"
Dec 12 2022,World Cup (Qatar) 2022,Monday,346,"$2,938,862",-69.1%,-24.5%,34,Black Panther: Wakanda Forever,"$903,453"
Dec 11 2022,World Cup (Qatar) 2022,Sunday,345,"$9,510,921",-38.5%,-28.6%,36,Black Panther: Wakanda Forever,"$3,195,195"
Dec 10 2022,World Cup (Qatar) 2022,Saturday,344,"$15,466,337",+74.8%,-28.9%,37,Black Panther: Wakanda Forever,"$5,178,818"
Dec 9 2022,World Cup (Qatar) 2022,Friday,343,"$8,846,320",+133.2%,-37.3%,36,Black Panther: Wakanda Forever,"$2,860,689"
Dec 8 2022,World Cup (Qatar) 2022,Thursday,342,"$3,792,849",-3.8%,-20.4%,30,Black Panther: Wakanda Forever,"$1,165,072"
Dec 7 2022,World Cup (Qatar) 2022,Wednesday,341,"$3,943,414",-28.6%,-10.5%,29,Black Panther: Wakanda Forever,"$1,144,653"
Dec 6 2022,World Cup (Qatar) 2022,Tuesday,340,"$5,526,292",+41.9%,-5.5%,31,Black Panther: Wakanda Forever,"$1,567,075"
Dec 5 2022,World Cup (Qatar) 2022,Monday,339,"$3,895,004",-70.8%,-15.3%,30,Black Panther: Wakanda Forever,"$1,162,850"
Dec 4 2022,World Cup (Qatar) 2022,Sunday,338,"$13,327,779",-38.7%,-33.7%,30,Black Panther: Wakanda Forever,"$4,908,833"
Dec 3 2022,World Cup (Qatar) 2022,Saturday,337,"$21,746,080",+54.1%,-36.2%,32,Black Panther: Wakanda Forever,"$8,171,837"
Dec 2 2022,World Cup (Qatar) 2022,Friday,336,"$14,111,815",+196%,-60.3%,31,Violent Night,"$4,869,770"
Dec 1 2022,World Cup (Qatar) 2022,Thursday,335,"$4,767,528",+8.2%,-72.1%,25,Black Panther: Wakanda Forever,"$1,851,240"
Nov 30 2022,World Cup (Qatar) 2022,Wednesday,334,"$4,405,292",-24.7%,-79.8%,24,Black Panther: Wakanda Forever,"$1,918,716"
Nov 29 2022,World Cup (Qatar) 2022,Tuesday,333,"$5,848,911",+27.2%,-58.6%,26,Black Panther: Wakanda Forever,"$2,681,411"
Nov 28 2022,World Cup (Qatar) 2022,Monday,332,"$4,597,554",-77.1%,-59.3%,24,Black Panther: Wakanda Forever,"$2,208,258"
Nov 27 2022,World Cup (Qatar) 2022,Sunday,331,"$20,116,146",-40.9%,-28.8%,29,Black Panther: Wakanda Forever,"$9,754,235"
Nov 26 2022,World Cup (Qatar) 2022,Saturday,330,"$34,060,152",-4.2%,-17.4%,29,Black Panther: Wakanda Forever,"$17,599,193"
Nov 25 2022,World Cup (Qatar) 2022,Friday,329,"$35,559,618",+107.9%,+20.6%,30,Black Panther: Wakanda Forever,"$18,230,476"
Nov 24 2022,ThanksgivingWorld Cup (Qatar) 2022,Thursday,328,"$17,101,407",-21.6%,+91.3%,31,Black Panther: Wakanda Forever,"$8,164,083"
Nov 23 2022,World Cup (Qatar) 2022,Wednesday,327,"$21,821,636",+54.5%,+123%,33,Black Panther: Wakanda Forever,"$10,052,869"
Nov 22 2022,World Cup (Qatar) 2022,Tuesday,326,"$14,128,236",+25.2%,-4.9%,30,Black Panther: Wakanda Forever,"$9,492,924"
Nov 21 2022,World Cup (Qatar) 2022,Monday,325,"$11,288,507",-60.1%,-11.6%,30,Black Panther: Wakanda Forever,"$7,002,759"
Nov 20 2022,,Sunday,324,"$28,259,098",-31.5%,-40%,30,Black Panther: Wakanda Forever,"$19,710,460"
Nov 19 2022,,Saturday,323,"$41,248,978",+39.9%,-38.1%,30,Black Panther: Wakanda Forever,"$28,772,668"
Nov 18 2022,,Friday,322,"$29,488,645",+229.9%,-68.3%,31,Black Panther: Wakanda Forever,"$17,999,138"
Nov 17 2022,,Thursday,321,"$8,937,676",-8.6%,+169.3%,27,Black Panther: Wakanda Forever,"$7,480,079"
Nov 16 2022,,Wednesday,320,"$9,783,542",-34.1%,+169.2%,29,Black Panther: Wakanda Forever,"$8,110,601"
Nov 15 2022,,Tuesday,319,"$14,854,835",+16.3%,+135.1%,28,Black Panther: Wakanda Forever,"$12,636,707"
Nov 14 2022,,Monday,318,"$12,776,780",-72.9%,+206.1%,29,Black Panther: Wakanda Forever,"$11,125,499"
Nov 13 2022,,Sunday,317,"$47,113,613",-29.3%,+232.8%,30,Black Panther: Wakanda Forever,"$40,922,989"
Nov 12 2022,,Saturday,316,"$66,610,882",-28.5%,+196.1%,30,Black Panther: Wakanda Forever,"$56,131,051"
Nov 11 2022,,Friday,315,"$93,156,358","+2,706.6%",+440.5%,32,Black Panther: Wakanda Forever,"$84,285,721"
Nov 10 2022,,Thursday,314,"$3,319,142",-8.7%,-24.7%,34,Black Adam,"$951,078"
Nov 9 2022,,Wednesday,313,"$3,634,689",-42.5%,-19.8%,34,Black Adam,"$1,070,591"
Nov 8 2022,,Tuesday,312,"$6,317,801",+51.4%,-6.2%,33,Black Adam,"$2,055,912"
Nov 7 2022,,Monday,311,"$4,174,057",-70.5%,-40.8%,34,Black Adam,"$1,328,183"
Nov 6 2022,,Sunday,310,"$14,155,088",-37.1%,-22.6%,34,Black Adam,"$5,270,433"
Nov 5 2022,,Saturday,309,"$22,499,016",+30.5%,-13.8%,34,Black Adam,"$8,296,544"
Nov 4 2022,,Friday,308,"$17,234,584",+290.8%,-11.9%,35,One Piece Film: Red,"$4,838,903"
Nov 3 2022,,Thursday,307,"$4,409,675",-2.7%,-31.8%,34,Black Adam,"$1,631,838"
Nov 2 2022,,Wednesday,306,"$4,534,367",-32.7%,-35.3%,35,Black Adam,"$1,720,811"
Nov 1 2022,,Tuesday,305,"$6,737,881",-4.4%,-36.4%,33,Black Adam,"$2,604,658"
Oct 31 2022,Halloween 2022,Monday,304,"$7,047,076",-61.4%,-14.3%,34,Black Adam,"$1,977,587"
Oct 30 2022,,Sunday,303,"$18,278,615",-30%,-34%,36,Black Adam,"$8,207,517"
Oct 29 2022,,Saturday,302,"$26,108,515",+33.5%,-36.9%,37,Black Adam,"$11,812,685"
Oct 28 2022,,Friday,301,"$19,554,153",+202.5%,-52.5%,38,Black Adam,"$7,451,938"
Oct 27 2022,,Thursday,300,"$6,463,896",-7.8%,+85.5%,35,Black Adam,"$3,124,177"
Oct 26 2022,,Wednesday,299,"$7,009,550",-33.8%,+69.2%,33,Black Adam,"$3,353,669"
Oct 25 2022,,Tuesday,298,"$10,586,504",+28.8%,+82.7%,33,Black Adam,"$5,453,792"
Oct 24 2022,,Monday,297,"$8,220,793",-70.3%,+72.1%,35,Black Adam,"$4,502,706"
Oct 23 2022,,Sunday,296,"$27,677,361",-33.1%,+78.4%,33,Black Adam,"$16,603,514"
