date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31,New Year's Eve,Friday,365,"$21,644,789",-26.6%,+69.8%,10,Stuart Little,"$5,052,000"
Dec 30,,Thursday,364,"$29,490,641",+4.6%,+67.4%,11,Stuart Little,"$5,946,193"
Dec 29,,Wednesday,363,"$28,195,282",-4.4%,+72%,13,Stuart Little,"$6,166,036"
Dec 28,,Tuesday,362,"$29,492,777",-1.6%,+179.1%,12,Stuart Little,"$6,066,972"
Dec 27,,Monday,361,"$29,964,854",-22.5%,+234%,12,Stuart Little,"$5,726,201"
Dec 26,,Sunday,360,"$38,671,241",+17.8%,+114.6%,11,The Talented Mr. Ripley,"$6,333,000"
Dec 25,Christmas Day,Saturday,359,"$32,822,167",<0.1%,+330.3%,10,The Talented Mr. Ripley,"$6,389,000"
Dec 24,,Friday,358,"$12,745,987",-27.6%,-13.1%,8,Stuart Little,"$3,137,000"
Dec 23,,Thursday,357,"$17,614,695",+7.5%,+465.8%,8,Stuart Little,"$3,941,000"
Dec 22,,Wednesday,356,"$16,388,623",+55.1%,+434.8%,9,Any Given Sunday,"$3,623,513"
Dec 21,,Tuesday,355,"$10,566,670",+17.8%,+226.4%,10,Stuart Little,"$3,009,818"
Dec 20,,Monday,354,"$8,971,753",-50.2%,+199.8%,11,Stuart Little,"$2,513,265"
Dec 19,,Sunday,353,"$18,018,152",-24.6%,+46.9%,9,Stuart Little,"$4,837,000"
Dec 18,,Saturday,352,"$23,901,734",+62.9%,+27.7%,6,Stuart Little,"$6,341,000"
Dec 17,,Friday,351,"$14,673,937",+371.4%,+28.3%,6,Stuart Little,"$3,688,000"
Dec 16,,Thursday,350,"$3,112,983",+1.6%,+35.5%,9,The Green Mile,"$1,402,860"
Dec 15,,Wednesday,349,"$3,064,240",-5.3%,+30.8%,9,The Green Mile,"$1,453,873"
Dec 14,,Tuesday,348,"$3,236,994",+8.2%,+24.6%,9,The Green Mile,"$1,567,610"
Dec 13,,Monday,347,"$2,992,640",-75.6%,+26.8%,9,The Green Mile,"$1,460,627"
Dec 12,,Sunday,346,"$12,269,688",-34.4%,+0.3%,9,Toy Story 2,"$5,574,688"
Dec 11,,Saturday,345,"$18,713,373",+63.7%,+0.9%,4,Toy Story 2,"$8,538,373"
Dec 10,,Friday,344,"$11,434,819",+397.6%,+13.1%,4,The Green Mile,"$5,749,000"
Dec 9,,Thursday,343,"$2,297,805",-1.9%,-31.6%,9,Toy Story 2,"$1,259,286"
Dec 8,,Wednesday,342,"$2,342,684",-9.8%,-31.6%,9,Toy Story 2,"$1,306,074"
Dec 7,,Tuesday,341,"$2,597,902",+10.1%,-33.3%,9,Toy Story 2,"$1,411,642"
Dec 6,,Monday,340,"$2,359,360",-80.7%,-42.1%,9,Toy Story 2,"$1,342,091"
Dec 5,,Sunday,339,"$12,230,733",-34%,-39%,8,Toy Story 2,"$8,459,733"
Dec 4,,Saturday,338,"$18,537,817",+83.3%,-44.3%,4,Toy Story 2,"$12,795,817"
Dec 3,,Friday,337,"$10,113,726",+200.9%,-71.1%,4,Toy Story 2,"$6,504,726"
Dec 2,,Thursday,336,"$3,361,617",-1.8%,-83.1%,11,Toy Story 2,"$1,872,573"
Dec 1,,Wednesday,335,"$3,424,591",-12.1%,-77.1%,11,Toy Story 2,"$1,951,463"
Nov 30,,Tuesday,334,"$3,896,428",-4.4%,-57.6%,11,Toy Story 2,"$2,204,032"
Nov 29,,Monday,333,"$4,075,037",-79.7%,-42.3%,11,Toy Story 2,"$2,511,086"
Nov 28,,Sunday,332,"$20,056,026",-39.7%,-22%,10,Toy Story 2,"$13,431,816"
Nov 27,,Saturday,331,"$33,264,811",-4.9%,-22.3%,7,Toy Story 2,"$21,350,621"
Nov 26,,Friday,330,"$34,961,232",+75.9%,+9.8%,7,Toy Story 2,"$22,606,402"
Nov 25,Thanksgiving,Thursday,329,"$19,875,759",+32.9%,+386.2%,7,Toy Story 2,"$13,143,034"
Nov 24,,Wednesday,328,"$14,958,921",+62.9%,+242.8%,7,Toy Story 2,"$9,570,911"
Nov 23,,Tuesday,327,"$9,185,703",+30.1%,+78.7%,21,The World Is Not Enough,"$3,363,208"
Nov 22,,Monday,326,"$7,061,062",-72.5%,+48.8%,21,The World Is Not Enough,"$2,601,907"
Nov 21,,Sunday,325,"$25,714,000",-39.9%,+17.4%,21,The World Is Not Enough,"$8,767,000"
Nov 20,,Saturday,324,"$42,790,000",+34.4%,+21.5%,18,The World Is Not Enough,"$14,220,000"
